"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00051886","CORTEZ, CO US","1998-04","0.80","6.2","44.9","59.8","30.1"
"USC00051886","CORTEZ, CO US","1998-05","0.54","0.0","56.1","72.8","39.5"
"USC00051886","CORTEZ, CO US","1998-06","0.09","0.0","63.3","81.4","45.2"
"USC00051886","CORTEZ, CO US","1998-07","2.43","0.0","74.4","89.7","59.1"
"USC00051886","CORTEZ, CO US","1998-08","1.30","0.0","71.7","87.6","55.9"
"USC00051886","CORTEZ, CO US","1998-09","0.61","0.0","66.8","82.3","51.3"
"USC00051886","CORTEZ, CO US","1998-10","3.72","1.6","50.7","64.0","37.3"
"USC00051886","CORTEZ, CO US","1998-12","0.29","3.3","31.7","45.7","17.7"
"USC00051886","CORTEZ, CO US","1999-01","0.46","3.0","34.4","47.6","21.3"
"USC00051886","CORTEZ, CO US","1999-02","0.30","1.8","37.1","51.3","22.9"
"USC00051886","CORTEZ, CO US","1999-03","0.22","2.2","45.2","61.3","29.1"
"USC00051886","CORTEZ, CO US","1999-04","1.84","5.4","44.8","57.5","32.1"
"USC00051886","CORTEZ, CO US","1999-05","1.78","0.3","54.5","69.1","39.9"
"USC00051886","CORTEZ, CO US","1999-06","0.41","0.0","64.2","81.7","46.8"
"USC00051886","CORTEZ, CO US","1999-07","1.51","0.0","72.4","86.2","58.6"
"USC00051886","CORTEZ, CO US","1999-08","1.96","0.0","69.4","83.0","55.8"
"USC00051886","CORTEZ, CO US","1999-09","0.77","0.0","60.9","77.5","44.3"
"USC00051886","CORTEZ, CO US","1999-10","0.00","0.0","52.3","71.3","33.3"
"USC00051886","CORTEZ, CO US","1999-11","0.05","0.2",,,
"USC00051886","CORTEZ, CO US","1999-12","0.07","0.9","30.1","45.4","14.8"
"USC00051886","CORTEZ, CO US","2000-01","1.48","8.3","32.9","45.8","20.0"
"USC00051886","CORTEZ, CO US","2000-02","1.02","11.3","37.1","48.9","25.3"
"USC00051886","CORTEZ, CO US","2000-03","1.83","9.6","40.7","52.5","28.8"
"USC00051886","CORTEZ, CO US","2000-04","0.49","1.7","51.0","67.0","35.0"
"USC00051886","CORTEZ, CO US","2000-05","0.25","0.0","60.4","78.1","42.8"
"USC00051886","CORTEZ, CO US","2000-06","0.13","0.0",,,
"USC00051886","CORTEZ, CO US","2000-07","0.57","0.0","73.9","91.5","56.4"
"USC00051886","CORTEZ, CO US","2000-08","0.72","0.0","74.0","90.0","58.1"
"USC00051886","CORTEZ, CO US","2000-09","0.43","0.0","64.4","81.2","47.6"
"USC00051886","CORTEZ, CO US","2000-10","1.52","0.7","51.2","64.9","37.5"
"USC00051886","CORTEZ, CO US","2000-11","0.70","7.2","33.3","44.8","21.8"
"USC00051886","CORTEZ, CO US","2000-12","0.32","3.5","32.6","45.4","19.8"
"USC00051886","CORTEZ, CO US","2001-01","1.10","14.6","28.2","41.5","14.9"
"USC00051886","CORTEZ, CO US","2001-02","0.55","3.6","34.8","46.5","23.2"
"USC00051886","CORTEZ, CO US","2001-03","0.59","5.5","42.0","55.0","29.0"
"USC00051886","CORTEZ, CO US","2001-04","0.61","1.5",,,
"USC00051886","CORTEZ, CO US","2001-05","0.69","0.2","60.0","77.5","42.5"
"USC00051886","CORTEZ, CO US","2001-06","0.05","0.0","68.5","86.7","50.3"
"USC00051886","CORTEZ, CO US","2001-07","0.47","0.0","74.0","90.0","58.1"
"USC00051886","CORTEZ, CO US","2001-08","2.13","0.0","70.7","86.0","55.3"
"USC00051886","CORTEZ, CO US","2001-09","0.39","0.0","65.5","83.2","47.7"
"USC00051886","CORTEZ, CO US","2001-10","0.39","0.0","53.0","70.1","36.0"
"USC00051886","CORTEZ, CO US","2001-11","0.93","7.1","41.8","56.5","27.2"
"USC00051886","CORTEZ, CO US","2001-12","0.67","7.3","29.2","42.1","16.4"
"USC00051886","CORTEZ, CO US","2002-01","0.00","0.4","29.8","43.3","16.3"
"USC00051886","CORTEZ, CO US","2002-02","0.03","0.3","32.0","47.5","16.4"
"USC00051886","CORTEZ, CO US","2002-03","0.73","7.3","38.2","53.3","23.1"
"USC00051886","CORTEZ, CO US","2002-04","0.13","0.3","52.4","69.3","35.4"
"USC00051886","CORTEZ, CO US","2002-05","0.10","0.0","59.0","76.4","41.7"
"USC00051886","CORTEZ, CO US","2002-06","0.00","0.0","70.4","89.9","50.8"
"USC00051886","CORTEZ, CO US","2002-07","0.74","0.0","75.7","93.1","58.2"
"USC00051886","CORTEZ, CO US","2002-08","0.80","0.0",,,"52.6"
"USC00051886","CORTEZ, CO US","2002-09","2.65","0.0","63.0","77.6","48.5"
"USC00051886","CORTEZ, CO US","2002-10","1.48","0.2","48.7","63.5","34.0"
"USC00051886","CORTEZ, CO US","2002-11","0.83","0.6","38.9","52.7","25.0"
"USC00051886","CORTEZ, CO US","2002-12","0.58","5.9","30.1","43.0","17.3"
"USC00051886","CORTEZ, CO US","2003-01","0.20","1.6","36.3","50.1","22.5"
"USC00051886","CORTEZ, CO US","2003-02","2.11","13.3","34.0","46.5","21.5"
"USC00051886","CORTEZ, CO US","2003-03","1.28","5.4","39.4","52.8","26.1"
"USC00051886","CORTEZ, CO US","2003-04","0.12","2.4","47.8","63.2","32.3"
"USC00051886","CORTEZ, CO US","2003-05","0.37","0.0","60.2","76.9","43.6"
"USC00051886","CORTEZ, CO US","2003-06","0.09","0.0","66.7","84.8","48.6"
"USC00051886","CORTEZ, CO US","2003-07","0.37","0.0","77.2","95.8","58.6"
"USC00051886","CORTEZ, CO US","2003-08","1.13","0.0","73.7","89.5","57.9"
"USC00051886","CORTEZ, CO US","2003-09","2.70","0.0","62.5","79.3","45.8"
"USC00051886","CORTEZ, CO US","2003-10","0.52","0.0","55.3","72.1","38.6"
"USC00051886","CORTEZ, CO US","2003-11","0.88","1.2","38.6","49.5","27.7"
"USC00051886","CORTEZ, CO US","2003-12","0.49","5.0","32.4","45.6","19.2"
"USC00051886","CORTEZ, CO US","2004-01","0.85","6.1","29.0","41.7","16.2"
"USC00051886","CORTEZ, CO US","2004-02","1.47","14.6","29.4","42.0","16.9"
"USC00051886","CORTEZ, CO US","2004-03","0.29","2.7","46.1","62.2","30.0"
"USC00051886","CORTEZ, CO US","2004-04","1.68","2.0","48.9","62.8","35.1"
"USC00051886","CORTEZ, CO US","2004-05","0.10","0.0","58.3","74.8","41.8"
"USC00051886","CORTEZ, CO US","2004-06","0.21","0.0","66.9","85.2","48.5"
"USC00051886","CORTEZ, CO US","2004-07","0.94","0.0","72.2","89.2","55.2"
"USC00051886","CORTEZ, CO US","2004-08","0.63","0.0","69.3","86.0","52.6"
"USC00051886","CORTEZ, CO US","2004-09","3.05","0.0","61.1","76.3","45.8"
"USC00051886","CORTEZ, CO US","2004-10","1.24","0.5","50.5","63.8","37.2"
"USC00051886","CORTEZ, CO US","2004-11","1.30","3.0","38.8","50.5","27.1"
"USC00051886","CORTEZ, CO US","2004-12","0.47","3.4","31.6","43.6","19.6"
"USC00051886","CORTEZ, CO US","2005-01","2.20","6.7","36.3","46.7","25.8"
"USC00051886","CORTEZ, CO US","2005-02","1.98","7.9","36.6","46.9","26.3"
"USC00051886","CORTEZ, CO US","2005-03","0.82","4.6","39.9","53.3","26.6"
"USC00051886","CORTEZ, CO US","2005-04","0.96","0.3","47.9","63.5","32.3"
"USC00051886","CORTEZ, CO US","2005-05","0.65","0.0","57.9","74.2","41.6"
"USC00051886","CORTEZ, CO US","2005-06","0.07","0.0",,,
"USC00051886","CORTEZ, CO US","2005-07","0.70","0.0",,,
"USC00051886","CORTEZ, CO US","2005-08","1.94","0.0","70.7","86.2","55.2"
"USC00051886","CORTEZ, CO US","2005-09","1.91","0.0","64.0","79.8","48.2"
"USC00051886","CORTEZ, CO US","2005-10","1.65","0.0","52.7","67.6","37.9"
"USC00051886","CORTEZ, CO US","2005-11","0.20","0.0","41.4","56.5","26.3"
"USC00051886","CORTEZ, CO US","2005-12","0.07","0.6","30.7","44.8","16.7"
"USC00051886","CORTEZ, CO US","2006-01","0.28","2.7","32.4","46.9","17.9"
"USC00051886","CORTEZ, CO US","2006-02","0.06","0.5","34.5","50.4","18.7"
"USC00051886","CORTEZ, CO US","2006-03","1.19","8.9","40.0","52.2","27.8"
"USC00051886","CORTEZ, CO US","2006-04","0.71","0.7","50.5","66.8","34.3"
"USC00051886","CORTEZ, CO US","2006-05","0.19","0.0","60.6","78.3","43.0"
"USC00051886","CORTEZ, CO US","2006-06","0.32","0.0","69.9","88.6","51.2"
"USC00051886","CORTEZ, CO US","2006-07","1.87","0.0","75.8","91.3","60.3"
"USC00051886","CORTEZ, CO US","2006-08","2.83","0.0","70.6","85.4","55.7"
"USC00051886","CORTEZ, CO US","2006-09","1.98","0.0","58.5","74.5","42.6"
"USC00051886","CORTEZ, CO US","2006-10","2.67","1.0","49.2","63.2","35.3"
"USC00051886","CORTEZ, CO US","2006-11","0.33","1.8","41.3","56.2","26.5"
"USC00051886","CORTEZ, CO US","2006-12","0.67","7.1","31.1","43.7","18.5"
"USC00051886","CORTEZ, CO US","2007-01","0.64","10.8","27.1","40.9","13.3"
"USC00051886","CORTEZ, CO US","2007-02","0.81","5.6","35.1","47.9","22.4"
"USC00051886","CORTEZ, CO US","2007-03","0.48","1.8","43.4","58.9","27.9"
"USC00051886","CORTEZ, CO US","2007-04","0.60","0.4","49.1","64.4","33.8"
"USC00051886","CORTEZ, CO US","2007-05","1.66","0.0","57.6","72.9","42.3"
"USC00051886","CORTEZ, CO US","2007-06","0.06","0.0","68.6","86.9","50.3"
"USC00051886","CORTEZ, CO US","2007-07","2.52","0.0","75.8","92.4","59.1"
"USC00051886","CORTEZ, CO US","2007-08","1.24","0.0","73.7","89.1","58.2"
"USC00051886","CORTEZ, CO US","2007-09","2.14","0.0","64.6","80.2","49.0"
"USC00051886","CORTEZ, CO US","2007-10","0.38","0.0","51.4","67.9","34.9"
"USC00051886","CORTEZ, CO US","2007-11","0.08","0.6","42.9","60.0","25.9"
"USC00051886","CORTEZ, CO US","2007-12","2.50","6.1","28.6","38.6","18.7"
"USC00051886","CORTEZ, CO US","2008-01","2.78","14.6","22.5","36.7","8.4"
"USC00051886","CORTEZ, CO US","2008-02","2.00","21.1","29.9","42.4","17.4"
"USC00051886","CORTEZ, CO US","2008-03","0.10","1.5","38.7","53.7","23.7"
"USC00051886","CORTEZ, CO US","2008-04","0.52","2.4","45.6","62.1","29.1"
"USC00051886","CORTEZ, CO US","2008-05","0.60","0.1","54.6","70.5","38.6"
"USC00051886","CORTEZ, CO US","2008-06","0.31","0.0","65.9","84.1","47.8"
"USC00051886","CORTEZ, CO US","2008-07","1.07","0.0","73.8","90.6","57.1"
"USC00051886","CORTEZ, CO US","2008-08","0.47","0.0","72.3","88.8","55.8"
"USC00051886","CORTEZ, CO US","2008-09","0.62","0.0","63.6","80.6","46.5"
"USC00051886","CORTEZ, CO US","2008-10","0.53","0.0","51.9","69.1","34.6"
"USC00051886","CORTEZ, CO US","2008-11","0.99","2.6","42.0","56.5","27.6"
"USC00051886","CORTEZ, CO US","2008-12","1.91","22.2","29.3","41.4","17.2"
"USC00051886","CORTEZ, CO US","2009-01","0.70","4.9","30.5","43.9","17.1"
"USC00051886","CORTEZ, CO US","2009-02","0.76","8.2","36.3","49.9","22.7"
"USC00051886","CORTEZ, CO US","2009-03","0.17","3.7","42.4","57.8","26.9"
"USC00051886","CORTEZ, CO US","2009-04","1.04","4.3","46.2","61.3","31.0"
"USC00051886","CORTEZ, CO US","2009-06","0.53","0.0","64.4","79.7","49.2"
"USC00051886","CORTEZ, CO US","2009-07","0.42","0.0","74.4","92.2","56.5"
"USC00051886","CORTEZ, CO US","2009-08","0.37","0.0","70.5","88.6","52.4"
"USC00051886","CORTEZ, CO US","2009-09","0.85","0.0","64.2","80.7","47.7"
"USC00051886","CORTEZ, CO US","2009-10","0.52","3.4","47.6","63.2","31.9"
"USC00051886","CORTEZ, CO US","2009-11","0.86","2.5","41.6","56.6","26.7"
"USC00051886","CORTEZ, CO US","2009-12","1.53","15.4","23.5","37.0","10.1"
"USC00051886","CORTEZ, CO US","2010-01","1.78","16.3",,,
"USC00051886","CORTEZ, CO US","2010-02","1.72","18.6","29.7","42.1","17.3"
"USC00051886","CORTEZ, CO US","2010-03","0.97","11.1","38.1","51.8","24.4"
"USC00051886","CORTEZ, CO US","2010-04","0.83","6.9",,,"32.7"
"USC00051886","CORTEZ, CO US","2010-05","0.17","0.5","53.9","69.9","38.0"
"USC00051886","CORTEZ, CO US","2010-06","0.43","0.0","67.4","85.3","49.4"
"USC00051886","CORTEZ, CO US","2010-07","2.43","0.0","73.9","90.2","57.5"
"USC00051886","CORTEZ, CO US","2010-08","1.97","0.0","70.0","84.5","55.5"
"USC00051886","CORTEZ, CO US","2010-09","1.31","0.0","64.3","82.2","46.3"
"USC00051886","CORTEZ, CO US","2010-10","1.20","0.0","53.5","69.4","37.7"
"USC00051886","CORTEZ, CO US","2010-11","0.42","6.7","36.7","51.3","22.1"
"USC00051886","CORTEZ, CO US","2010-12","2.30","17.5","36.7","47.8","25.5"
"USC00051886","CORTEZ, CO US","2011-01","0.04",,"24.8","40.0","9.7"
"USC00051886","CORTEZ, CO US","2011-02","0.63",,"30.5","43.0","17.9"
"USC00051886","CORTEZ, CO US","2011-03","0.62",,"42.7","57.3","28.2"
