"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00051886","CORTEZ, CO US","2019-03","2.85","5.7",,,
"USC00051886","CORTEZ, CO US","2019-04","0.97","5.1","51.5","66.3","36.8"
"USC00051886","CORTEZ, CO US","2019-05","2.20","3.7","51.9","65.6","38.2"
"USC00051886","CORTEZ, CO US","2019-06","0.35","0.0","65.7","82.8","48.5"
"USC00051886","CORTEZ, CO US","2019-07","0.45","0.0","74.2","91.5","56.8"
"USC00051886","CORTEZ, CO US","2019-08","0.57","0.0","73.4","91.6","55.2"
"USC00051886","CORTEZ, CO US","2019-09","0.15","0.0","66.3","83.1","49.4"
"USC00051886","CORTEZ, CO US","2019-10","0.05","0.7","46.8","65.1","28.5"
"USC00051886","CORTEZ, CO US","2019-11","1.15","6.0","40.6","56.5","24.7"
"USC00051886","CORTEZ, CO US","2019-12","1.73","7.7","31.3","42.5","20.1"
"USC00051886","CORTEZ, CO US","2020-01","0.49","3.9","30.4","43.2","17.7"
"USC00051886","CORTEZ, CO US","2020-02","0.12","0.0","34.1","48.9","19.4"
"USC00051886","CORTEZ, CO US","2020-03","1.22","4.9","43.3","56.3","30.3"
"USC00051886","CORTEZ, CO US","2020-04","0.11","0.0","49.4","66.0","32.7"
"USC00051886","CORTEZ, CO US","2020-05","0.17","0.0","61.1","79.5","42.7"
"USC00051886","CORTEZ, CO US","2020-06","0.38","0.0","69.7","87.5","51.8"
"USC00051886","CORTEZ, CO US","2020-07","2.04","0.0","73.4","90.3","56.4"
"USC00051886","CORTEZ, CO US","2020-08","0.07","0.0","75.8","94.0","57.6"
"USC00051886","CORTEZ, CO US","2020-09","0.94","0.0","63.9","82.1","45.8"
"USC00051886","CORTEZ, CO US","2020-10","0.02","0.5","53.2","72.9","33.5"
"USC00051886","CORTEZ, CO US","2020-11","0.34","1.9","42.8","58.0","27.6"
"USC00051886","CORTEZ, CO US","2020-12","0.61","6.2","28.0","42.5","13.4"
"USC00051886","CORTEZ, CO US","2021-01","0.79","11.5","29.8","42.9","16.6"
"USC00051886","CORTEZ, CO US","2021-02","1.29","13.8","31.9","45.5","18.3"
"USC00051886","CORTEZ, CO US","2021-03","1.30","16.6","40.4","53.8","27.1"
"USC00051886","CORTEZ, CO US","2021-04","0.04","0.1","49.9","66.5","33.3"
"USC00051886","CORTEZ, CO US","2021-05","0.19","0.0","58.8","76.7","40.9"
"USC00051886","CORTEZ, CO US","2021-06","0.52","0.0","71.5","90.3","52.7"
"USC00051886","CORTEZ, CO US","2021-07","1.82","0.0","76.5","92.3","60.8"
"USC00051886","CORTEZ, CO US","2021-08","1.14","0.0","72.0","89.0","55.0"
"USC00051886","CORTEZ, CO US","2021-09","1.39","0.0","65.7","83.2","48.3"
"USC00051886","CORTEZ, CO US","2021-10","1.46","1.4","49.9","64.2","35.5"
"USC00051886","CORTEZ, CO US","2021-11","0.12","0.0","43.5","59.8","27.3"
"USC00051886","CORTEZ, CO US","2021-12","2.33","6.5","33.7","45.8","21.7"
"USC00051886","CORTEZ, CO US","2022-01","0.05","0.5","32.2","46.6","17.9"
"USC00051886","CORTEZ, CO US","2022-02","0.79","9.4","32.4","47.8","17.0"
"USC00051886","CORTEZ, CO US","2022-03","1.03","4.3","41.0","55.6","26.4"
"USC00051886","CORTEZ, CO US","2022-04","0.33","2.5","48.7","65.4","32.0"
"USC00051886","CORTEZ, CO US","2022-05","0.02","0.0","59.3","76.4","42.1"
"USC00051886","CORTEZ, CO US","2022-06","0.62","0.0","69.4","86.3","52.5"
"USC00051886","CORTEZ, CO US","2022-07","0.53","0.0","76.1","91.8","60.4"
"USC00051886","CORTEZ, CO US","2022-08","1.22","0.0","73.5","88.5","58.4"
"USC00051886","CORTEZ, CO US","2022-09","0.83","0.0","69.0","85.5","52.4"
"USC00051886","CORTEZ, CO US","2022-10","1.00","0.3","51.5","67.2","35.7"
"USC00051886","CORTEZ, CO US","2022-11","0.53","2.3","36.1","50.5","21.7"
"USC00051886","CORTEZ, CO US","2022-12","1.69","10.5","32.1","44.7","19.4"
"USC00051886","CORTEZ, CO US","2023-01","2.82","26.9","28.8","40.7","16.8"
"USC00051886","CORTEZ, CO US","2023-02","1.32","12.7","29.1","43.1","15.1"
"USC00051886","CORTEZ, CO US","2023-03","3.42","9.7","36.0","47.2","24.7"
"USC00051886","CORTEZ, CO US","2023-04","0.15","1.8","47.1","62.9","31.4"
"USC00051886","CORTEZ, CO US","2023-05","1.22","0.0","59.4","75.5","43.3"
"USC00051886","CORTEZ, CO US","2023-06","0.42","0.0","64.7","81.6","47.7"
"USC00051886","CORTEZ, CO US","2023-07","0.11","0.0","76.4","95.2","57.6"
"USC00051886","CORTEZ, CO US","2023-08","2.98","0.0","73.7","89.1","58.3"
"USC00051886","CORTEZ, CO US","2023-09","1.74","0.0","65.4","81.6","49.1"
"USC00051886","CORTEZ, CO US","2023-10","0.49","0.0","53.7","70.9","36.4"
"USC00051886","CORTEZ, CO US","2023-11","0.52","1.7","41.6","56.9","26.4"
"USC00051886","CORTEZ, CO US","2023-12","0.65","2.9","34.7","47.9","21.5"
